1997/01/10 0000	1997/01/11 0000
1997/02/27 1830	1997/02/28 1540
1997/04/21 0800	1997/04/22 1000
1997/06/06 2232	1997/06/11 1000
1997/09/03 1330	1997/09/04 1400
1998/02/17 1000	1998/02/18 1500
1998/03/10 1132	1998/03/14 1130
1998/03/21 0830	1998/03/22 0600
1998/06/25 0600	1998/06/26 1500
1998/07/15 2130	1998/07/17 1200
1998/10/07 0900	1998/10/11 0000
1999/02/28 1230	1999/03/02 0000
1999/03/19 1000	1999/03/20 0800
1999/03/29 0030	1999/03/31 1800
1999/05/12 2202	1999/05/14 1000
1999/09/12 0400	1999/09/12 1900
2000/01/11 0730	2000/01/12 1500
2000/04/15 1600	2000/04/17 0000
2000/05/29 1430	2000/05/31 1200
2000/06/26 0200	2000/06/26 1700
2000/08/28 0830	2000/08/30 1800
2000/09/16 1130	2000/09/19 0900
2000/10/22 0830	2000/10/23 2100
2001/01/28 1804	2001/01/29 1200
2001/02/13 0100	2001/02/15 2000
2001/03/19 1300	2001/03/21 0300
2001/07/25 0100	2001/07/26 0500
2001/10/03 0600	2001/10/04 0300
2001/12/21 1430	2001/12/22 1800
2002/01/10 0701	2002/01/12 0200
2002/02/05 1600	2002/02/06 1800
2002/07/05 2100	2002/07/07 0600
2002/08/20 1700	2002/08/21 1700
2002/09/07 1619	2002/09/08 1400
2003/06/17 1900	2003/06/19 1200
2003/07/10 2100	2003/07/14 0000
2003/07/26 1500	2003/07/27 2200
2003/08/05 2100	2003/08/07 0100
2003/10/13 0800	2003/10/15 0400
2004/02/11 1000	2004/02/12 1300
2004/03/09 0900	2004/03/10 1800
2004/08/29 2300	2004/08/31 1800
2005/01/16 1800	2005/01/20 0000
2005/02/16 1100	2005/02/17 0300
2005/04/04 1200	2005/04/06 0800
2005/04/11 1600	2005/04/14 2100
2005/06/21 1830	2005/06/24 1600
2005/07/09 0400	2005/07/10 1000
2005/10/31 0700	2005/11/01 0800
2006/01/25 1400	2006/01/27 1200
2006/03/06 1300	2006/03/08 0000
2006/09/23 1800	2006/09/24 1600
2006/11/09 1800	2006/11/10 2200
2006/11/29 2200	2006/11/30 2330
2007/01/29 0900	2007/01/30 1100
2007/03/23 1200	2007/03/24 1800
2007/03/31 2100	2007/04/03 1400
2007/05/22 1400	2007/05/24 1100
2007/11/20 0900	2007/11/20 2130
2010/05/02 0000	2010/05/05 0000
2010/06/15 0501	2010/06/19 0600
2010/08/24 0236	2010/08/24 2300
2010/10/11 0400	2010/10/14 1600
2010/12/20 0000	2010/12/20 2300
2011/02/04 1800	2011/02/05 1200
2011/03/01 0740	2011/03/02 1400
2011/03/10 0000	2011/03/13 1600
2011/05/28 0600	2011/05/28 1800
2011/08/05 1800	2011/08/06 2200
2012/02/18 1601	2012/02/19 2200
2012/05/08 1403	2012/05/09 1800
2012/09/01 1800	2012/09/06 1100
2012/10/12 1200	2012/10/14 0800
2013/03/01 0600	2013/03/02 0600
2013/07/05 1430	2013/07/07 0800
2013/08/04 0900	2013/08/05 2100
2013/08/14 1500	2013/08/15 0800
2013/11/08 1805	2013/11/10 0100
2013/12/07 1800	2013/12/09 0600
2014/04/11 0430	2014/04/12 1900
2014/04/22 0800	2014/04/23 1200
2014/08/27 0000	2014/08/28 1500
2014/10/08 0201	2014/10/09 1200
2014/10/14 0400	2014/10/15 1200
2015/05/10 0000	2015/05/14 1600
2015/06/08 0300	2015/06/09 0100
2015/07/04 1303	2015/07/05 1100
2015/07/13 0200	2015/07/13 2000
2015/07/23 0100	2015/07/23 1900
2015/08/26 0400	2015/08/29 1400
2015/09/08 2100	2015/09/10 0600
2015/10/06 0905	2015/10/09 1200
2016/01/20 0000	2016/01/24 0000
2016/02/15 1600	2016/02/20 1800
2016/03/14 1800	2016/03/21 0000
2016/04/02 1300	2016/04/04 1200
2016/05/01 0900	2016/05/04 0600
2016/05/07 2100	2016/05/11 1200
2016/06/04 0000	2016/06/09 0600
2016/08/22 1000	2016/08/26 0900
2016/08/31 1200	2016/09/09 0000
2016/09/24 0000	2016/10/06 0000
2017/09/07 1500	2017/09/09 0800
2017/09/27 0200	2017/09/29 0200
2017/11/07 0000	2017/11/09 0000
2018/08/25 0700	2018/08/27 0000
